Date,Open,High,Low,Close
02/05/2011,3.033,3.495,3.029,3.2
03/05/2011,3.2,3.49,3.11,3.41
04/05/2011,3.41,3.58,3.25,3.406
05/05/2011,3.406,3.45,3.333,3.333
06/05/2011,3.333,3.61,3.29,3.45
07/05/2011,3.45,3.7,3.425,3.641
08/05/2011,3.641,3.937,3.63,3.866
09/05/2011,3.866,3.9,3.691,3.8
10/05/2011,3.8,5.99,3.81,5.81
11/05/2011,5.81,6.065,4.6,5.5
12/05/2011,5.5,6.49,5.22,6.3
13/05/2011,6.3,8.45,6.32,8.198
14/05/2011,8.198,8.9,5.83,7.198
15/05/2011,7.198,7.78,6.2,6.987
16/05/2011,6.987,8.5,6.75,8.034
17/05/2011,8.034,8.389,6.98,7.19
18/05/2011,7.19,7.5,6.6,6.88
19/05/2011,6.88,7.34,6.607,6.805
20/05/2011,6.805,7.1,5.577,5.59
21/05/2011,5.59,6.52,5.577,6.12
22/05/2011,6.12,6.759,5.99,6.69
23/05/2011,6.69,7.45,6.69,7.15
24/05/2011,7.15,7.51,6.96,7.42
25/05/2011,7.42,9.33,7.216,8.4
26/05/2011,8.4,8.987,8.01,8.798
27/05/2011,8.798,8.83,8.5,8.5
28/05/2011,8.5,8.7,8.11,8.3
29/05/2011,8.3,8.49,8.102,8.43
30/05/2011,8.43,9.0,8.25,8.8
31/05/2011,8.8,9.5,8.1,8.741
01/06/2011,8.741,9.699,8.3,9.57
02/06/2011,9.57,10.89,9.5,10.6
03/06/2011,10.6,14.5,10.58,14.29
04/06/2011,14.29,18.89,14.04,18.89
05/06/2011,18.89,19.0,16.2,16.7
06/06/2011,16.7,19.23,16.45,18.55
07/06/2011,18.55,24.32,18.26,23.92
08/06/2011,23.92,31.91,22.21,29.6
09/06/2011,29.6,31.5,26.15,28.92
10/06/2011,28.92,29.4,20.01,23.95
11/06/2011,23.95,23.99,13.0,14.65
12/06/2011,14.65,24.99,10.25,18.55
13/06/2011,18.55,24.5,16.0,19.84
14/06/2011,19.84,20.5,18.0,19.28
15/06/2011,19.28,20.0,19.02,19.49
16/06/2011,19.49,19.89,17.0,17.0
17/06/2011,17.0,18.34,13.0,15.68
18/06/2011,15.68,16.95,15.05,16.89
19/06/2011,16.89,18.88,16.85,17.51
20/06/2011,17.51,17.51,17.51,17.51
21/06/2011,17.51,17.51,17.51,17.51
22/06/2011,17.51,17.51,17.51,17.51
23/06/2011,17.51,17.51,17.51,17.51
24/06/2011,17.51,17.51,17.51,17.51
25/06/2011,17.51,17.51,17.51,17.51
26/06/2011,17.51,17.51,14.01,16.45
27/06/2011,16.45,18.0,15.0,16.75
28/06/2011,16.75,17.52,16.5,16.95
29/06/2011,16.95,17.2,16.67,16.85
30/06/2011,16.85,17.0,15.73,16.1
01/07/2011,16.1,16.74,15.26,15.4
02/07/2011,15.4,15.8,15.27,15.4
03/07/2011,15.4,15.69,15.31,15.44
04/07/2011,15.44,15.49,13.14,13.86
05/07/2011,13.86,15.0,11.0,12.91
06/07/2011,12.91,16.5,12.67,14.78
07/07/2011,14.78,15.9,14.5,14.78
08/07/2011,14.78,15.64,13.9,14.31
09/07/2011,14.31,14.7,14.02,14.38
10/07/2011,14.38,15.68,14.35,14.9
11/07/2011,14.9,15.2,13.8,14.21
12/07/2011,14.21,14.64,13.9,14.01
13/07/2011,14.01,14.15,13.91,13.95
14/07/2011,13.95,14.07,13.7,13.99
15/07/2011,13.99,14.09,13.5,13.81
16/07/2011,13.81,13.81,13.5,13.72
17/07/2011,13.72,13.75,13.02,13.16
18/07/2011,13.16,13.92,12.51,13.48
19/07/2011,13.48,14.7,13.44,13.85
20/07/2011,13.85,14.0,13.4,13.69
21/07/2011,13.69,13.78,13.4,13.61
22/07/2011,13.61,13.81,13.45,13.7
23/07/2011,13.7,13.76,13.51,13.68
24/07/2011,13.68,14.1,13.6,13.98
25/07/2011,13.98,14.72,13.76,14.05
26/07/2011,14.05,14.05,13.77,13.88
27/07/2011,13.88,14.13,13.85,13.94
28/07/2011,13.94,13.94,13.31,13.49
29/07/2011,13.49,13.7,13.33,13.5
30/07/2011,13.5,13.63,13.45,13.53
31/07/2011,13.53,14.9,12.83,13.35
01/08/2011,13.35,13.55,12.85,13.09
02/08/2011,13.09,13.1,11.5,12.05
03/08/2011,12.05,12.16,8.7,9.26
04/08/2011,9.26,11.15,9.27,10.75
05/08/2011,10.75,10.99,9.5,9.8
06/08/2011,9.8,9.95,5.742,6.55
07/08/2011,6.55,9.47,6.01,7.9
08/08/2011,7.9,8.16,7.055,7.8
09/08/2011,7.8,12.1,7.671,9.99
10/08/2011,9.99,10.4,9.5,9.98
11/08/2011,9.98,10.5,8.451,9.462
12/08/2011,9.462,9.8,8.91,9.461
13/08/2011,9.461,10.25,9.28,10.13
14/08/2011,10.13,11.24,9.62,10.8
15/08/2011,10.8,11.89,10.72,11.15
16/08/2011,11.15,11.32,10.81,10.96
17/08/2011,10.96,11.1,10.66,10.95
18/08/2011,10.95,11.05,10.81,10.83
19/08/2011,10.83,11.81,10.83,11.65
20/08/2011,11.65,11.69,11.4,11.45
21/08/2011,11.45,11.51,11.31,11.31
22/08/2011,11.31,11.5,10.51,10.9
23/08/2011,10.9,11.3,10.81,10.94
24/08/2011,10.94,11.08,10.83,10.85
25/08/2011,10.85,10.89,9.1,9.657
26/08/2011,9.657,9.889,7.642,8.179
27/08/2011,8.179,9.11,8.121,8.59
28/08/2011,8.59,9.481,8.448,9.07
29/08/2011,9.07,9.27,8.65,8.969
30/08/2011,8.969,9.0,8.55,8.791
31/08/2011,8.791,8.79,8.01,8.2
01/09/2011,8.2,8.36,8.1,8.21
02/09/2011,8.21,8.714,8.23,8.64
03/09/2011,8.64,8.69,8.363,8.48
04/09/2011,8.48,8.49,7.85,8.178
05/09/2011,8.178,8.191,7.25,7.611
06/09/2011,7.611,7.657,6.122,6.863
07/09/2011,6.863,7.599,6.53,7.186
08/09/2011,7.186,7.198,6.512,6.53
09/09/2011,6.53,6.577,4.18,5.03
10/09/2011,5.03,5.49,4.63,4.774
11/09/2011,4.774,7.4,4.6,5.864
12/09/2011,5.864,6.582,5.412,6.078
13/09/2011,6.078,6.085,5.7,5.8
14/09/2011,5.8,5.847,5.325,5.619
15/09/2011,5.619,5.619,4.44,4.84
16/09/2011,4.84,4.99,4.61,4.82
17/09/2011,4.82,4.93,4.7,4.77
18/09/2011,4.77,5.6,4.721,5.2
19/09/2011,5.2,5.644,4.9,5.46
20/09/2011,5.46,6.795,5.451,6.112
21/09/2011,6.112,6.287,5.06,5.611
22/09/2011,5.611,5.83,5.29,5.428
23/09/2011,5.428,5.707,5.415,5.545
24/09/2011,5.545,5.641,5.32,5.468
25/09/2011,5.468,5.49,5.322,5.33
26/09/2011,5.33,5.4,4.721,4.87
27/09/2011,4.87,5.13,4.781,4.916
28/09/2011,4.916,4.969,4.625,4.772
29/09/2011,4.772,4.8,4.674,4.779
30/09/2011,4.779,5.35,4.743,5.14
01/10/2011,5.14,5.249,4.861,5.032
02/10/2011,5.032,5.1,4.91,5.027
03/10/2011,5.027,5.04,4.889,5.024
04/10/2011,5.024,5.025,4.919,4.96
05/10/2011,4.96,5.025,4.831,4.87
06/10/2011,4.87,4.9,4.499,4.734
07/10/2011,4.734,4.796,3.782,4.273
08/10/2011,4.273,4.34,3.825,4.008
09/10/2011,4.008,4.389,4.008,4.103
10/10/2011,4.103,4.2,4.01,4.1
11/10/2011,4.1,4.1,3.85,3.931
12/10/2011,3.931,4.45,3.901,4.15
13/10/2011,4.15,4.2,4.002,4.046
14/10/2011,4.046,4.115,3.948,3.988
15/10/2011,3.988,4.05,3.709,3.842
16/10/2011,3.842,3.897,3.4,3.557
17/10/2011,3.557,3.74,2.26,2.56
18/10/2011,2.56,2.9,2.31,2.419
19/10/2011,2.419,2.536,2.04,2.27
20/10/2011,2.27,2.391,2.22,2.348
21/10/2011,2.348,2.72,2.327,2.57
22/10/2011,2.57,3.3,2.551,3.159
23/10/2011,3.159,3.2,2.95,3.17
24/10/2011,3.17,3.195,2.481,2.545
25/10/2011,2.545,3.04,2.44,2.77
26/10/2011,2.77,2.849,2.65,2.773
27/10/2011,2.773,3.09,2.731,3.04
28/10/2011,3.04,3.255,2.905,3.19
29/10/2011,3.19,3.827,3.14,3.581
30/10/2011,3.581,3.65,3.2,3.27
31/10/2011,3.27,3.316,3.066,3.248
01/11/2011,3.248,3.35,3.07,3.15
02/11/2011,3.15,3.44,3.141,3.254
03/11/2011,3.254,3.28,3.1,3.152
04/11/2011,3.152,3.21,3.011,3.109
05/11/2011,3.109,3.15,2.85,2.97
06/11/2011,2.97,3.0,2.92,2.96
07/11/2011,2.96,3.032,2.95,3.007
08/11/2011,3.007,3.21,3.006,3.035
09/11/2011,3.035,3.11,2.887,2.95
10/11/2011,2.95,2.969,2.8,2.84
11/11/2011,2.84,3.11,2.823,3.08
12/11/2011,3.08,3.11,3.01,3.031
13/11/2011,3.031,3.05,2.951,2.997
14/11/2011,2.997,2.996,2.1,2.22
15/11/2011,2.22,2.49,2.11,2.329
16/11/2011,2.329,2.6,2.301,2.56
17/11/2011,2.56,2.589,1.994,2.25
18/11/2011,2.25,2.39,2.0,2.05
19/11/2011,2.05,2.26,2.0,2.196
20/11/2011,2.196,2.499,2.15,2.2
21/11/2011,2.2,2.311,2.17,2.294
22/11/2011,2.294,2.35,2.25,2.329
23/11/2011,2.329,2.38,2.27,2.332
24/11/2011,2.332,2.56,2.305,2.432
25/11/2011,2.432,2.528,2.374,2.506
26/11/2011,2.506,2.531,2.41,2.47
27/11/2011,2.47,2.49,2.423,2.48
28/11/2011,2.48,2.55,2.44,2.55
29/11/2011,2.55,2.981,2.54,2.75
30/11/2011,2.75,3.09,2.732,2.97
01/12/2011,2.97,3.14,2.929,3.06
02/12/2011,3.06,3.138,3.035,3.115
03/12/2011,3.115,3.125,2.75,2.794
04/12/2011,2.794,2.9,2.61,2.828
05/12/2011,2.828,2.93,2.781,2.88
06/12/2011,2.88,3.05,2.87,3.03
07/12/2011,3.03,3.082,2.932,2.99
08/12/2011,2.99,3.006,2.884,2.98
09/12/2011,2.98,3.039,2.935,2.97
10/12/2011,2.97,3.133,2.935,3.05
11/12/2011,3.05,3.38,2.99,3.251
12/12/2011,3.251,3.29,3.084,3.135
13/12/2011,3.135,3.25,3.141,3.25
14/12/2011,3.25,3.248,2.994,3.15
15/12/2011,3.15,3.214,3.11,3.2
16/12/2011,3.2,3.22,3.15,3.2
17/12/2011,3.2,3.23,3.155,3.2
18/12/2011,3.2,3.219,3.175,3.193
19/12/2011,3.193,3.7,3.189,3.52
20/12/2011,3.52,4.5,3.483,3.95
21/12/2011,3.95,4.04,3.81,3.89
22/12/2011,3.89,3.992,3.509,3.89
23/12/2011,3.89,3.95,3.815,3.947
24/12/2011,3.947,3.969,3.855,3.94
25/12/2011,3.94,4.39,3.781,4.225
26/12/2011,4.225,4.313,3.81,4.018
27/12/2011,4.018,4.1,3.962,4.07
28/12/2011,4.07,4.25,3.99,4.186
29/12/2011,4.186,4.33,4.116,4.166
30/12/2011,4.166,4.3,4.063,4.248
31/12/2011,4.248,4.995,4.2,4.722
01/01/2012,4.722,5.5,4.615,5.268
02/01/2012,5.268,5.47,4.8,5.217
03/01/2012,5.217,5.29,4.65,4.881
04/01/2012,4.881,5.7,4.751,5.574
05/01/2012,5.574,7.22,5.574,6.948
06/01/2012,6.948,7.21,6.126,6.697
07/01/2012,6.697,7.016,6.38,6.81
08/01/2012,6.81,7.2,6.734,7.114
09/01/2012,7.114,7.191,5.81,6.326
10/01/2012,6.326,6.89,6.001,6.36
11/01/2012,6.36,7.138,6.413,6.9
12/01/2012,6.9,6.997,6.337,6.8
13/01/2012,6.8,6.804,6.4,6.41
14/01/2012,6.41,6.95,6.22,6.75
15/01/2012,6.75,7.08,6.741,7.002
16/01/2012,7.002,7.189,6.511,6.683
17/01/2012,6.683,6.95,4.64,5.6
18/01/2012,5.6,6.95,5.1,5.92
19/01/2012,5.92,6.361,5.873,6.36
20/01/2012,6.36,6.58,6.258,6.49
21/01/2012,6.49,6.548,6.1,6.18
22/01/2012,6.18,6.455,6.1,6.31
23/01/2012,6.31,6.389,6.212,6.356
24/01/2012,6.356,6.394,6.219,6.29
25/01/2012,6.29,6.322,5.502,5.75
26/01/2012,5.75,5.92,5.3,5.34
27/01/2012,5.34,5.51,5.05,5.292
28/01/2012,5.292,5.76,5.26,5.627
29/01/2012,5.627,5.7,5.328,5.381
30/01/2012,5.381,5.6,5.367,5.49
31/01/2012,5.49,5.65,5.426,5.484
01/02/2012,5.484,6.2,5.468,6.076
